نوع البطوله,الفرق الاول,الفريق الثاني,النتيجه,ميعاد المباره
الدوري التونسي,الترجى الرياضي,اتحاد تطاوين,- - -,20:00
الدوري التونسي,إتحاد بن قردان,الافريقي التونسي,- - -,20:00
الدوري التونسي,شبيبة العمران,قوافل قفصة,- - -,20:00
الدوري التونسي,النجم الرياضي بالمتلوي,سليمان الرياضي,- - -,20:00
الدوري التونسي,الترجي الجرجيسي,الملعب التونسي,- - -,20:00
الدوري التونسي,النجم الساحلى,الأولمبي الباجي,- - -,20:00
الدوري التونسي,البنزرتي,الإتحاد المنستيري,- - -,20:00
الدوري التونسي,فابيس,الصفاقســــي,- - -,20:00
الدوري الإسباني,بلد الوليد,ديبورتيفو ليجانيس,- - -,20:00
الدوري الإسباني,أتلتيك بلباو,فالنسيا,- - -,20:00
الدوري الإسباني,اتلتيكو مدريد,اسبانيول,- - -,22:30
الدوري الإسباني,ريال سوسيداد,ألافيس,- - -,22:30
الدوري الألماني,مونشنجلادباخ,يونيون برلين,- - -,16:30
الدوري السعودي,الاتفـــــاق,الأخدود,- - -,18:45
الدوري السعودي,الوحدة,العروبة,- - -,21:00
الدوري السعودي,الهلال,ضمك,- - -,21:00
